order_id,customer_name,phone_number,address
eb6d0c84-df1e-4507-8d47-d0992d55e3aa,Morgan Berry,(415)797-4317x774,"58142 Sheri Rue Suite 665, Silvaland, New Jersey, Anguilla, 25741"
c7937cfc-57d5-4b10-a61c-d1318a77abcb,Michael Taylor,2475964130,"6778 Geoffrey Stream, Scottstad, California, Maldives, 87871"
fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,Tara Skinner,496-640-1196,"6353 Rodney Knoll Apt. 589, Marciamouth, Ohio, Lithuania, 60289"
ed62dd4c-ba16-478d-ab35-a924a9894439,Brittany Martin,+1-441-843-0302x147,"466 Atkinson Landing Apt. 870, Lake Kellyborough, Tennessee, French Guiana, 60808"
78efe8d2-1559-4c36-a8cc-22066e9bfc02,Janet Huber,731-597-2732x735,"627 Ryan Isle Apt. 273, Ryanbury, Oregon, Poland, 07753"
c18982ab-6742-4186-a25b-61a991d439d4,Stacey Cobb,(265)604-3603x3317,"8469 Melton Throughway Suite 091, Johnsontown, New Hampshire, Spain, 64938"
46d20cd3-1b2b-44f0-9272-bfe9e5828363,Timothy Gutierrez,835-282-4612x6865,"7534 Welch Junctions Apt. 950, Lake Tanner, Tennessee, Indonesia, 59220"
500c43f9-30ee-43ed-8de8-6fe07ff351e8,Darin Hall,(239)509-9280x24758,"285 Douglas Estates, Gregorystad, South Dakota, Singapore, 25667"
d64cf28c-5206-4ed5-968a-c010cf9f6854,Ruth Barnett,001-962-615-5623x85753,"00758 Susan Mill, Carlberg, Texas, El Salvador, 39560"
005f222e-3de4-4d35-bdc4-347b4db429c8,Erin Garrett,350-254-8414,"50342 Martin Greens, Rebekahview, Arkansas, Belgium, 75895"
fca2c21c-0284-4879-ba5a-c69584523c72,Richard Greene,300-622-4613,"4608 Shelly Pine Suite 397, Valenciabury, Louisiana, Seychelles, 83281"
d65c7e0e-f972-4dd3-9abc-a9c380b604d1,Kayla Watts,001-395-461-0778x75605,"5569 Melissa Canyon Suite 001, Kathleenberg, Iowa, Zimbabwe, 89565"
b428b6cb-a0b6-4ada-b965-d969fef0b903,Kimberly Juarez,001-242-897-8057,"7355 Carlos Neck, East Stevestad, Kansas, Bosnia and Herzegovina, 18403"
c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,Teresa Calhoun,800-250-0577x51448,"607 Tamara Mill, Wallston, Mississippi, Bahrain, 63885"
39184c1a-27b6-4e32-9c01-2234286d2e37,Jacob Robinson,001-442-594-1776x861,"1080 Chen Causeway Suite 608, New Ernest, Florida, Argentina, 01068"
c525a17f-8186-4c11-9fc8-4f0634e4b86f,Angela Hughes,+1-853-872-3407x8269,"303 Allison Light Suite 045, South Williamborough, West Virginia, Bahamas, 12880"
0d869f2e-75b0-4347-b604-8437b5ac15d8,Brett Silva,553-713-0603x513,"5864 Herrera Crescent, South Laurenchester, Maine, Macao, 44045"
56612376-1312-4519-a631-d7a11691ba40,Kelli May,904-606-8905,"0874 Swanson Forges, North Sarah, Michigan, Rwanda, 63081"
ba87d1a4-9630-40bd-99cd-63273f1b97e0,Alison Daniels,(806)643-5131x3009,"444 Sara Extensions Apt. 380, North Bailey, Arizona, Cameroon, 45613"
db291689-c710-40ec-b75a-a9c6b9249ad4,Chelsea Alvarez,693.733.2645x7498,"28527 Amanda Club, West Amanda, Wyoming, Andorra, 33052"
471c09cb-8510-440d-b97a-00c3f9b31cd9,Madison Riddle,883.620.2043x20179,"54618 Evan Pass, North Melissaville, Iowa, Puerto Rico, 47865"
586e5d29-3acb-479e-9c66-b8040627bf61,Justin Li,+1-556-672-3752x38742,"59333 Jason Isle Apt. 306, Cochranberg, Washington, Saint Pierre and Miquelon, 50399"
538cc26e-6af8-4c1b-a853-18c300a5a5a8,Dawn Smith,+1-552-759-9750,"90507 Sarah Spurs, New Davidland, New York, Venezuela, 58883"
4462f2ea-de32-4e71-85d9-285374fbf4ec,Deborah Mullins,935.697.3106x58965,"09087 Sanchez Coves, North Roberthaven, Arkansas, Bulgaria, 26168"
213bbe59-f306-4b13-ba44-59c090369a89,Alex Vargas,5474583837,"390 Galloway Highway Suite 167, Jamesmouth, Hawaii, Belize, 26854"
97f9335a-243d-417b-bbf7-2180d6ef0fe2,Chelsea Rose,+1-651-214-8079x4420,"55087 Brandon Lodge, South Stevenbury, Colorado, France, 28505"
ab63994c-ee26-4762-b39c-3fff855c4386,Stephanie Martinez,646.984.2106x187,"790 Taylor Dam Apt. 498, Millsside, Minnesota, Antigua and Barbuda, 38280"
1d79bdfe-4539-4a05-8311-a3ad0fb8af80,Robert Long,(739)471-5614x62674,"4677 Leslie Via Suite 223, North Leonard, Wisconsin, Oman, 94140"
1966a8ea-98bc-4f32-90be-9f24c72930fd,Kimberly Patterson,402-980-6232x4788,"79285 Clayton Locks Suite 572, Sawyershire, Pennsylvania, Czech Republic, 78658"
1affc983-a34e-4807-b067-602ba9954917,Christopher Wilson,(364)600-5164,"785 Alyssa Ferry, Amandafurt, Nebraska, Italy, 05630"
b2b5a427-3c92-4e2e-b733-442888258b57,Holly Norris,357.611.0521x4849,"5632 Miller Trafficway, West Maryland, New Hampshire, Tunisia, 97080"
06dcaba3-baa1-4347-817b-436443d89239,Trevor Stone,(937)796-2005,"3507 Scott Path Suite 151, West James, California, Ethiopia, 19607"
7cc7cebb-9956-4adc-b21b-1bbc39992ad4,Jennifer Martin,+1-356-802-3952x434,"940 Bennett Cliff, Stantonmouth, New Mexico, American Samoa, 20825"
1cd89dae-19bd-461d-83c8-66a36ad84757,Michael White,877-780-9279,"3313 Jim Spring Suite 733, Port Jennifermouth, Louisiana, Saint Barthelemy, 97188"
a2930e0b-6dcd-442b-9a02-6f5f5c53912f,Edward Schaefer,207.498.4221,"66164 Morris Ridge, North Cassieborough, Vermont, Egypt, 72214"
5abd83ec-e36f-4e17-8e23-67a0027446b8,Mark Church,492-655-6226,"2562 Jessica Circle, Solisstad, Idaho, Panama, 09362"
e2817642-ce03-471e-8352-2f00432d8eb6,Sarah Gay,306-963-8044x743,"7632 Mario Squares, North Ricky, Utah, Pitcairn Islands, 24857"
30096665-b509-4a99-b56c-39053de34028,Stephanie Phillips,722-411-0141,"86983 Hoover Light Apt. 215, South Erica, New Hampshire, Barbados, 73645"
1461979b-758d-4f3d-8ef9-144c3d79ffb7,Robert Perry,001-545-867-2442x3611,"6321 King Summit, West Angelica, Florida, Lesotho, 35762"
e000d5ee-5b12-4b6e-b32c-9418acc01ad1,Brandon Johnson,(353)464-9609x377,"55165 David Canyon Apt. 731, West Jennifer, Alaska, Turks and Caicos Islands, 78772"
3c7c5f40-c121-446f-876a-bad5ec3d68dd,Jill Odonnell,510-876-5431x967,"5177 Chad Track, Kathleenland, North Carolina, Bolivia, 10630"
97f51dce-5b7f-403a-a86a-02a2cf4f3f06,Yolanda Cox,533-896-0031,"6821 Alexandria Fall Suite 775, Ashleyview, Indiana, Nicaragua, 64545"
58547bc8-f039-48c3-bb74-13f9fe0dee44,Matthew Rosales,001-538-405-8293x28543,"6252 Woods Pine Apt. 476, Mcdonaldfurt, New Jersey, El Salvador, 64741"
e3f7f156-b7c2-4c16-a27d-bedbff992073,Debra Holland,8766145880,"347 Carrie Groves Suite 026, Normafurt, Nebraska, Guernsey, 59433"
44796809-a044-4b71-b3e5-c047ba7862de,Tina Ryan,+1-256-812-2223x18440,"232 Robinson Prairie, Gilbertside, Nevada, Honduras, 53924"
da519c35-fc15-4380-b4f2-ddeaeab03438,Jonathan Bell,+1-791-980-0659,"73084 Kramer Squares Suite 811, Port Scott, New Hampshire, Saint Vincent and the Grenadines, 36522"
989a2e6a-88f5-496c-9455-dc11ce176bc4,Virginia Ramos,580.990.9793x961,"286 Ryan Run, Josephfort, Idaho, Papua New Guinea, 88327"
2562e5ca-bc8f-4e27-a980-8b89e1872a22,Tyler Ramos,8098493460,"28879 Blake Fort Suite 374, Petersonchester, Oklahoma, Paraguay, 20444"
fa846fd2-ca2e-4636-8747-567048f7c0f0,Jacqueline Collier,688.944.3256x605,"229 John Burg, East Seth, Indiana, Egypt, 21573"
18c814a6-c96d-4ff2-87cb-28ef63cbc08a,Nicholas Ellison,001-923-876-4058x166,"821 Steve Spur, Oliviashire, Kentucky, North Macedonia, 19807"
8bd2eeb2-a8f3-4c4e-8e67-e45902c60ea6,James Miller,861.393.5422x9903,"88130 Richard Lake, Nicoleville, Oklahoma, India, 19375"
3ac595f4-2e7f-4c0e-9ba0-ee1982996d7d,Richard White,(302)328-2948,"12584 Lopez Fall Suite 232, Jessicaberg, Connecticut, Poland, 08244"
65a7d50c-9e65-4cb3-b8c8-3c16299add4a,David Gray,869-573-8083x3262,"99236 Larsen Squares, Port Lindamouth, Vermont, Netherlands, 20297"
6d662974-d56b-496b-ac98-0b05534ea428,Vanessa Hill,001-862-960-9639x35675,"17975 Angela Stream, Rosschester, Utah, Martinique, 40455"
80d2593d-595a-4950-a58a-ee9326aff1ea,Henry Johnston,(568)253-5424x269,"6437 Gallegos Green, West Brentland, Idaho, Germany, 34735"
169cf2df-8030-4c26-b8ef-ae0f667f6d69,Angela Fleming,+1-303-448-0392x4147,"53305 Christopher Well, Davisburgh, Indiana, Dominican Republic, 39652"
a1d95d42-7cfe-4d8b-9029-31821cacb611,Cynthia Lamb,231-718-8398,"6578 Stevenson Station, Williamsview, Nebraska, Faroe Islands, 55621"
dd748f3d-3bc9-4a30-8e3c-b7d76d22b89e,Joseph Anderson,266.771.2042x01151,"8314 Park Courts Apt. 128, Lake Brianachester, West Virginia, Namibia, 33410"
465fd637-a232-4bda-b2cf-9910a75c592a,Sydney Curtis,397.484.3658x3754,"84237 Andrew Gardens, Abbottberg, South Carolina, Lebanon, 74619"
1cea33ed-1fac-4009-bf01-ccbf3ae619e6,Laura Hess,7327580003,"7243 Michael Lodge Suite 935, Port Stephanieland, Pennsylvania, Sudan, 30451"
fe86c67c-ebdc-45ff-832f-06fc95d31a58,Karla Cunningham,+1-415-796-7082,"25642 Drake Crescent Suite 191, East Matthew, Tennessee, Guatemala, 91681"
dbddc4d2-f0a5-4ee2-8c15-e93df44729a2,Edward Adkins,(975)744-1920x43795,"36078 Elizabeth Walk, Floydchester, Rhode Island, Tajikistan, 59809"
7caa4a29-adea-40b6-872d-7017a8fc4480,Christina Nelson,431-872-4112x154,"95715 Smith Rest, New Brianchester, Kentucky, Chad, 73803"
065ce052-fc00-459d-8913-cf184cbdd778,Dawn Dickerson,(690)336-1467,"7194 Garcia Rest Suite 491, Bellmouth, Indiana, Cocos (Keeling) Islands, 44097"
68f7ffc7-5e61-4fab-94c8-5a5e0ea90b16,Roger Hill,515-553-9483x871,"6221 Fowler Passage Suite 219, West Steven, Arizona, Mauritius, 40630"
